,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros (tecnología),Total (tecnología),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros (velocidad),Total (velocidad)
108,2015,1,Mendoza,152.433,13.030,2.542,29,2.126,170.160,287.0,24.0,169.763,38.0,16.0,6.0,11,0.0,170.145
109,2015,1,Misiones,58.262,26.836,30,5,13.0,85.146,958.0,11.136,51.906,12.387,8.543,194.0,26,0.0,85.150
110,2015,1,Neuquén,47.518,32.152,1.024,12.088,2.96,95.742,1.895,2.577,80.787,170.0,4.067,2.0,76,0.0,89.574
111,2015,1,Río Negro,66.274,25.217,907,3.473,1.462,97.333,3.371,4.913,86.173,94.0,2.632,2.0,42,0.0,97.227
112,2015,1,Salta,76.280,19.781,47,129,574.0,96.811,1.123,14.151,64.992,13.955,2.569,15.0,5,0.0,96.810
113,2015,1,San Juan,48.441,451,755,1.165,1.007,51.819,8.0,445.0,51.346,0.0,0.0,0.0,2,0.0,51.801
114,2015,1,San Luis,11.414,1.025,351,30,412.0,13.232,10.0,8.0,12.720,0.0,1.0,0.0,2,0.0,12.741
115,2015,1,Santa Cruz,16.215,2.700,392,4.772,2.562,26.641,205.0,27.0,26.048,2.0,0.0,0.0,0,0.0,26.282
116,2015,1,Santa Fe,328.809,199.037,2.845,4.239,1.507,536.437,6.883,93.096,360.964,45.27,27.597,1.542,900,0.0,536.252
117,2015,1,Santiago Del Estero,33.813,4.365,19,1.020,35.0,39.252,701.0,9.236,23.136,4.796,748.0,0.0,0,0.0,38.617
118,2015,1,Tierra Del Fuego,22.291,7.924,657,1,2.583,33.456,14.0,609.0,36.319,2.0,0.0,0.0,0,0.0,36.944
119,2015,1,Tucumán,137.857,115,116,88,100.0,138.276,107.0,27.143,83.895,23.061,3.722,334.0,0,0.0,138.262
120,2015,2,Buenos Aires,1.581.770,1.141.052,115.660,19.268,26.04,2.883.790,8.714,137.189,2.299.705,243.503,159.922,2.01,6.712,0.0,2.857.754
121,2015,2,Capital Federal,453.178,858.342,19.786,2.172,12.806,1.346.284,2.493,51.799,990.112,148.569,142.976,1.482,9.258,0.0,1.346.690
122,2015,2,Catamarca,25.387,242,15,1,34.0,25.679,15.0,7.253,14.003,3.776,593.0,37.0,1,0.0,25.678
123,2015,2,Chaco,55.767,27.809,179,52,41.0,83.848,288.0,11.058,47.551,17.675,6.337,788.0,149,0.0,83.846
124,2015,2,Chubut,43.949,762,916,13.055,4.803,63.485,656.0,6.032,55.791,168.0,0.0,0.0,0,0.0,62.647
125,2015,2,Corrientes,55.238,26.553,157,1.321,47.0,83.316,34.0,12.542,48.015,17.184,5.039,379.0,126,0.0,83.319
126,2015,2,Córdoba,348.130,255.596,435,5.199,386.0,609.746,156.0,72.695,434.717,54.993,46.415,1.956,903,0.0,611.835
127,2015,2,Entre Ríos,113.378,49.767,119,6.031,197.0,169.492,2.864,21.986,104.043,32.293,7.867,354.0,136,0.0,169.543
128,2015,2,Formosa,21.097,5.164,2,737,50.0,27.050,1.881,6.907,14.247,2.436,1.324,257.0,1,0.0,27.053
129,2015,2,Jujuy,32.183,5.482,22,- 0,35.0,37.722,2.479,9.474,20.248,4.792,730.0,0.0,0,0.0,37.723
130,2015,2,La Pampa,12.756,40.825,3.719,6.190,562.0,64.052,5.737,8.182,46.235,27.0,24.0,25.0,10,0.0,60.240
131,2015,2,La Rioja,16.463,- 0,16,2,28.0,16.509,10.0,4.082,9.093,2.68,641.0,0.0,3,0.0,16.509
132,2015,2,Mendoza,153.301,13.030,2.572,38,1.882,170.823,268.0,26.0,170.451,42.0,16.0,5.0,13,0.0,170.821
133,2015,2,Misiones,59.179,29.283,37,5,15.0,88.519,958.0,10.36,51.671,15.022,10.072,408.0,33,0.0,88.524
134,2015,2,Neuquén,47.078,34.183,1.044,12.781,2.799,97.885,1.755,2.348,82.727,214.0,5.168,2.0,110,0.0,92.324
135,2015,2,Río Negro,66.738,26.268,916,3.457,1.348,98.727,3.413,4.525,87.362,97.0,3.24,1.0,51,0.0,98.689
136,2015,2,Salta,77.214,20.297,47,129,580.0,98.267,1.123,13.02,64.737,16.241,3.114,29.0,5,0.0,98.269
137,2015,2,San Juan,48.670,451,770,1.189,908.0,51.988,8.0,410.0,51.568,0.0,0.0,0.0,2,0.0,51.988
138,2015,2,San Luis,11.432,1.025,354,33,377.0,13.221,9.0,4.0,13.204,0.0,0.0,1.0,2,0.0,13.220
139,2015,2,Santa Cruz,15.343,2.707,396,4.917,2.4,25.763,210.0,25.0,25.519,2.0,0.0,0.0,0,0.0,25.756
140,2015,2,Santa Fe,333.117,204.685,2.877,4.320,1.389,546.388,6.827,86.016,364.441,53.205,33.894,1.856,1.014,0.0,547.253
141,2015,2,Santiago Del Estero,33.873,4.365,19,1.091,30.0,39.378,703.0,8.779,23.456,5.553,888.0,0.0,0,0.0,39.379
142,2015,2,Tierra Del Fuego,22.636,7.927,665,1,2.35,33.579,15.0,285.0,36.073,2.0,0.0,0.0,0,0.0,36.375
143,2015,2,Tucumán,139.944,479,116,88,50.0,140.677,107.0,25.178,83.462,26.966,4.502,455.0,0,0.0,140.670
