,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
218,2016,2,Catamarca,"26,07","9,63","37,85","7,4","29,10"
219,2016,2,Chaco,"28,59","8,92","33,37","8,16","30,56"
220,2016,2,Chubut,"36,12",20,"65,24","12,61","41,20"
221,2016,2,Corrientes,"30,58","9,49","36,03","8,58","32,61"
222,2016,2,Córdoba,"57,55","19,52","63,75","27,88","91,15"
223,2016,2,Entre Ríos,"44,74","16,88","56,44","11,62","38,90"
224,2016,2,Formosa,"19,37","6,97","27,4","7,93","31,19"
225,2016,2,Jujuy,"21,89","7,66","29,96","11,58","45,33"
226,2016,2,La Pampa,"60,44","23,69","71,89","25,9","78,65"
227,2016,2,La Rioja,"16,88","10,17","38,19","6,54","24,59"
228,2016,2,Mendoza,"32,13","19,42","69,6","6,09","21,85"
229,2016,2,Misiones,"29,24","9,19","33,73","10,15","37,31"
230,2016,2,Neuquén,"59,1","15,75","52,92","17,65","59,37"
231,2016,2,Río Negro,"46,24","19,92","64,77","7,72","25,14"
232,2016,2,Salta,"32,08","10,31","42,56","12,9","53,30"
233,2016,2,San Juan,"27,34","14,37","56,4","5,67","22,30"
234,2016,2,San Luis,"9,6","11,03","38,53","11,18","39,10"
235,2016,2,Santa Cruz,"26,73","13,46","45,23","15,7","52,86"
236,2016,2,Santa Fe,"52,44","21,67","68,91","17,96","57,15"
237,2016,2,Santiago Del Estero,"15,89","7,04","28,38","10,56","42,59"
238,2016,2,Tierra Del Fuego,"67,72","24,32","82,01","24,33","82,24"
239,2016,2,Tucumán,"37,24","13,04","52,65","7,73","31,23"
240,2016,3,Buenos Aires,"60,14","28,33","88,63","14,97","49,12"
241,2016,3,Capital Federal,"120,77","52,45","123,09","23,43","61,70"
242,2016,3,Catamarca,"26,48","9,68","38,05","7,43","29,22"
243,2016,3,Chaco,"28,91","8,88","33,23","7,8","29,22"
244,2016,3,Chubut,"36,18","20,41","66,58","12,59","41,12"
245,2016,3,Corrientes,"31,07","9,48","35,98","8,59","32,63"
246,2016,3,Córdoba,"58,24","19,5","63,68","28,04","91,66"
247,2016,3,Entre Ríos,"45,44","16,81","56,22","11,65","39,00"
248,2016,3,Formosa,"18,64","7,04","27,67","7,93","31,19"
249,2016,3,Jujuy,"22,61","7,67","29,98","11,48","44,93"
250,2016,3,La Pampa,"61,73","23,88","72,49","26,25","79,73"
251,2016,3,La Rioja,"17,07","10,17","38,21","6,6","24,81"
252,2016,3,Mendoza,"32,09","19,77","70,85","6,1","21,88"
253,2016,3,Misiones,"29,91","9,17","33,68","10,17","37,38"
254,2016,3,Neuquén,"60,21","16,14","54,22","17,64","59,31"
255,2016,3,Río Negro,"46,39","20,25","65,84","7,69","25,03"
256,2016,3,Salta,"32,96","10,31","42,57","12,76","52,73"
257,2016,3,San Juan,"27,32","15,01","58,92","5,67","22,27"
258,2016,3,San Luis,"9,63","11,12","38,84","11,2","39,18"
259,2016,3,Santa Cruz,"26,84","13,51","45,4","15,54","52,32"
260,2016,3,Santa Fe,"52,67","21,57","68,6","17,94","57,10"
261,2016,3,Santiago Del Estero,"15,33","6,97","28,1","10,56","42,59"
262,2016,3,Tierra Del Fuego,"68,94","24,69","83,27","24,66","83,34"
263,2016,3,Tucumán,"37,9","13,08","52,81","7,77","31,40"
264,2016,4,Buenos Aires,"61,24","28,86","90,08","15,06","49,41"
265,2016,4,Capital Federal,"120,63","52,87","125,25","23,29","61,33"
266,2016,4,Catamarca,"26,54","9,61","37,79","7,52","29,58"
267,2016,4,Chaco,"28,79","8,79","32,9","7,65","28,63"
268,2016,4,Chubut,"36,07","21,07","68,73","12,59","41,14"
269,2016,4,Corrientes,"30,98","9,41","35,72","8,65","32,88"
270,2016,4,Córdoba,"57,7","19,44","63,5","27,98","91,48"
271,2016,4,Entre Ríos,"45,21","16,65","55,69","11,68","39,11"
272,2016,4,Formosa,"19,85","7,01","27,54","7,92","31,13"
273,2016,4,Jujuy,"22,65","7,62","29,81","11,1","43,44"
274,2016,4,La Pampa,"63,02","23,99","72,81","29,05","88,24"
275,2016,4,La Rioja,"16,46","10,07","37,83","6,9","25,94"
276,2016,4,Mendoza,"32,11","19,89","71,28","6,13","22,00"
277,2016,4,Misiones,"29,72","9,52","34,94","10,23","37,60"
278,2016,4,Neuquén,"60,87","16,1","54,08","17,62","59,26"
279,2016,4,Río Negro,"46,39","20,42","66,39","7,62","24,80"
280,2016,4,Salta,"32,69","10,25","42,32","12,79","52,87"
281,2016,4,San Juan,"27,29","15,19","59,65","5,33","20,95"
282,2016,4,San Luis,"9,64","11,08","38,72","11,25","39,37"
283,2016,4,Santa Cruz,"27,05","14,17","47,62","15,45","52,04"
284,2016,4,Santa Fe,"52,19","21,61","68,73","18,01","57,33"
285,2016,4,Santiago Del Estero,"15,07","6,84","27,57","10,45","42,14"
286,2016,4,Tierra Del Fuego,"70,31","24,61","83,01","24,73","83,59"
287,2016,4,Tucumán,"37,98","13,04","52,65","7,7","31,11"
288,2017,1,Buenos Aires,"58,57","29,04","91,2","15,23","47,43"
289,2017,1,Capital Federal,"108,37","52,62","123,37","23,29","55,24"
290,2017,1,Catamarca,"25,66","9,68","38,05","7,36","28,91"
291,2017,1,Chaco,"28,62","8,86","33,16","7,57","28,32"
292,2017,1,Chubut,"35,66","21,36","69,67","12,46","40,65"
293,2017,1,Corrientes,"30,94","9,47","35,97","8,58","32,59"
294,2017,1,Córdoba,"57,65","19,56","63,87","28,16","91,97"
295,2017,1,Entre Ríos,"44,91","16,77","56,1","11,95","39,98"
296,2017,1,Formosa,"19,84","7,06","27,73","8,28","32,53"
297,2017,1,Jujuy,"22,76","7,69","30,07","11,33","44,31"
298,2017,1,La Pampa,"62,67","24,15","73,3","29,34","89,04"
299,2017,1,La Rioja,"16,2","10,18","38,23","6,49","24,37"
300,2017,1,Mendoza,"31,84","20,06","71,88","6,07","21,76"
301,2017,1,Misiones,"29,52","9,6","35,26","10,16","37,30"
302,2017,1,Neuquén,"61,02","16,27","54,66","17,45","58,61"
303,2017,1,Río Negro,"46,03","20,64","67,09","7,34","23,85"
304,2017,1,Salta,"32,58","10,35","42,75","12,52","51,67"
305,2017,1,San Juan,"27,04","15,32","60,16","5,76","22,60"
306,2017,1,San Luis,"9,55","11,19","39,11","11,72","40,96"
307,2017,1,Santa Cruz,"26,52","14,47","48,61",15,"50,40"
308,2017,1,Santa Fe,"51,97","21,72","69,06","17,5","55,65"
309,2017,1,Santiago Del Estero,"14,7","6,9","27,79","10,33","41,61"
310,2017,1,Tierra Del Fuego,"68,92","25,11","84,69","24,31","81,97"
311,2017,1,Tucumán,"37,9","13,17","53,16","7,69","31,05"
312,2017,2,Buenos Aires,"56,27","29,22","91,58","15,17","47,17"
313,2017,2,Capital Federal,"124,06","51,66","121,27","23,14","54,96"
314,2017,2,Catamarca,"25,98","9,63","37,85","10,01","39,35"
315,2017,2,Chaco,"29,05","8,92","33,37","7,84","29,32"
316,2017,2,Chubut,"35,55",20,"65,24","12,38","40,37"
317,2017,2,Corrientes,"31,39","9,49","36,03","8,53","32,41"
318,2017,2,Córdoba,"58,97","19,52","63,75",28,"91,43"
319,2017,2,Entre Ríos,"45,39","16,88","56,44","12,07","40,36"
320,2017,2,Formosa,"19,97","6,97","27,4","8,12","31,92"
321,2017,2,Jujuy,"22,4","7,66","29,96","11,36","44,42"
322,2017,2,La Pampa,"63,49","23,69","71,89","28,45","86,33"
323,2017,2,La Rioja,"16,2","10,17","38,19","6,39","23,99"
324,2017,2,Mendoza,"31,76","19,42","69,6","5,88","21,06"
325,2017,2,Misiones,"30,09","9,19","33,73","10,1","37,09"
326,2017,2,Neuquén,"61,91","15,75","52,92","17,37","58,35"
327,2017,2,Río Negro,"46,02","19,92","64,77","8,11","26,38"
328,2017,2,Salta,"32,74","10,31","42,56","18,73","77,34"
329,2017,2,San Juan,"26,96","14,37","56,4","5,38","21,11"
330,2017,2,San Luis,"9,51","11,03","38,53","11,23","39,25"
331,2017,2,Santa Cruz,"26,25","13,46","45,23","14,84","49,88"
332,2017,2,Santa Fe,"52,27","21,67","68,91","17,93","57,03"
333,2017,2,Santiago Del Estero,"14,12","7,04","28,38","10,26","41,35"
334,2017,2,Tierra Del Fuego,"68,46","24,32","82,01","24,25","81,79"
335,2017,2,Tucumán,"38,19","13,04","52,65","10,98","44,32"
336,2017,3,Buenos Aires,"55,63","28,33","88,63","15,11","46,79"
337,2017,3,Capital Federal,"121,86","52,45","123,09","23,1","54,92"
338,2017,3,Catamarca,"32,49","9,68","38,05","10,08","39,57"
339,2017,3,Chaco,"29,98","8,88","33,23","7,73","28,87"
340,2017,3,Chubut,"46,22","20,41","66,58","11,93","38,81"
341,2017,3,Corrientes,"32,17","9,48","35,98","8,59","32,58"
342,2017,3,Córdoba,"62,31","19,5","63,68","28,1","91,61"
343,2017,3,Entre Ríos,"45,96","16,81","56,22","12,27","40,98"
344,2017,3,Formosa,"21,35","7,04","27,67","8,37","32,84"
345,2017,3,Jujuy,"22,65","7,67","29,98","11,36","44,34"
346,2017,3,La Pampa,"69,14","23,88","72,49","28,54","86,50"
347,2017,3,La Rioja,"51,47","10,17","38,21","6,34","23,76"
348,2017,3,Mendoza,"35,7","19,77","70,85","5,9","21,09"
349,2017,3,Misiones,"30,21","9,17","33,68","10,27","37,61"
350,2017,3,Neuquén,"60,83","16,14","54,22","17,24","57,79"
351,2017,3,Río Negro,"48,52","20,25","65,84","8,06","26,13"
352,2017,3,Salta,"39,84","10,31","42,57","18,6","76,63"
353,2017,3,San Juan,"32,37","15,01","58,92","5,23","20,49"
354,2017,3,San Luis,"15,48","11,12","38,84","12,8","44,62"
355,2017,3,Santa Cruz,"33,29","13,51","45,4","14,16","47,36"
356,2017,3,Santa Fe,"60,91","21,57","68,6","17,83","56,64"
357,2017,3,Santiago Del Estero,"35,12","6,97","28,1","10,33","41,54"
358,2017,3,Tierra Del Fuego,"65,74","24,69","83,27","24,84","83,42"
359,2017,3,Tucumán,"39,7","13,08","52,81","10,99","44,27"
360,2017,4,Buenos Aires,"57,61","28,86","90,08","15,54","48,10"
361,2017,4,Capital Federal,"122,9","52,87","125,25","24,15","57,50"
362,2017,4,Catamarca,"28,62","9,61","37,79","7,24","28,46"
363,2017,4,Chaco,"30,81","8,79","32,9","8,64","32,34"
364,2017,4,Chubut,"51,46","21,07","68,73",12,"39,13"
365,2017,4,Corrientes,"32,52","9,41","35,72","9,66","36,70"
366,2017,4,Córdoba,"63,33","19,44","63,5","28,42","92,84"
367,2017,4,Entre Ríos,"47,89","16,65","55,69","15,49","51,81"
368,2017,4,Formosa,"21,27","7,01","27,54","8,29","32,57"
369,2017,4,Jujuy,"22,74","7,62","29,81","11,62","45,43"
370,2017,4,La Pampa,"71,05","23,99","72,81","23,98","72,78"
371,2017,4,La Rioja,"51,57","10,07","37,83","6,24","23,42"
372,2017,4,Mendoza,"33,33","19,89","71,28","5,88","21,08"
373,2017,4,Misiones,"31,14","9,52","34,94","10,9","40,01"
374,2017,4,Neuquén,"61,24","16,1","54,08","12,03","40,41"
375,2017,4,Río Negro,"49,38","20,42","66,39","12,57","40,87"
376,2017,4,Salta,"39,8","10,25","42,32","12,81","52,87"
377,2017,4,San Juan,"30,3","15,19","59,65","5,2","20,41"
378,2017,4,San Luis,"10,59","11,08","38,72","12,74","44,52"
379,2017,4,Santa Cruz,"28,91","14,17","47,62","14,67","49,29"
380,2017,4,Santa Fe,"61,71","21,61","68,73","18,15","57,72"
381,2017,4,Santiago Del Estero,"29,13","6,84","27,57","10,11","40,76"
382,2017,4,Tierra Del Fuego,"59,89","24,61","83,01","24,67","83,20"
